"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Patrick Mahomes","QB","KC",435,32.9,55.6,403,500,193,317,169,1,1,2,1,"1",18.5,30.1,1
"2","Christian McCaffrey","RB","CAR",362,33.2,5.64,320,415,186,201,188,2,15,1,1,"1",3.26,64.9,5
"3","Saquon Barkley","RB","NYG",356,21.2,30.5,327,389,180,208,161,3,14,3,2,"2",1.31,67.9,1
"4","Alvin Kamara","RB","NO",326,21,8.57,286,349,149,167,122,4,21,5,3,"2",2.74,65.8,1
"5","Ezekiel Elliott","RB","DAL",317,29.8,35.6,269,356,141,151,129,6,27,4,4,"3",5.52,58.8,19
"6","Travis Kelce","TE","KC",277,12.9,27.5,259,293,141,162,110,5,25,6,1,"1",15.8,41.5,1
"7","Deshaun Watson","QB","HOU",379,13.7,13.6,354,397,138,268,65.4,7,2,25,2,"1",47.1,13.8,2
"8","Aaron Rodgers","QB","GB",366,26.4,2.91,326,404,124,240,72,8,6,18,3,"2",50.2,12.7,4
"9","Russell Wilson","QB","SEA",363,27.3,5.26,328,402,121,242,70.6,9,4,22,4,"2",77.8,5.45,43
"10","Michael Thomas","WR","NO",310,24.9,5.17,275,343,118,117,106,10,32,7,1,"1",13.7,49.9,14
"11","Matt Ryan","QB","ATL",358,16.2,2.58,335,379,116,249,47.3,11,3,41,5,"2",67,6.61,15
"12","George Kittle","TE","SF",250,15.4,19.8,226,272,114,129,88.6,12,30,12,2,"2",29.3,28.2,4
"13","Carson Wentz","QB","PHI",355,19.9,1.37,319,377,113,233,45.9,13,8,44,6,"2",83.8,4.8,37
"14","Davante Adams","WR","GB",305,12.3,2.8,281,318,113,124,80.2,14,31,13,2,"1",9.5,52.8,1
"15","Drew Brees","QB","NO",354,19.9,0.249,328,380,112,242,48.7,15,5,40,7,"2",75.6,5.23,59
"16","Dak Prescott","QB","DAL",353,34.5,1.55,306,407,112,220,75.9,16,10,15,8,"2",129,2.51,52
"17","Lamar Jackson","QB","BAL",352,58.6,8.06,299,435,110,213,103,17,12,8,9,"3",112,3.37,80
"18","Julio Jones","WR","ATL",302,22.4,1.25,265,331,110,108,93.1,18,35,10,3,"1",11.6,51.2,11
"19","DeAndre Hopkins","WR","HOU",301,23,20.4,266,326,109,109,89,19,34,11,4,"2",6.1,56.2,7
"20","DeAndre Hopkins","WR","ARI",301,23,20.4,266,326,109,109,89,19,34,11,4,"2",6.1,56.2,7
"21","Dalvin Cook","RB","MIN",281,24.4,13,256,322,105,137,94.9,20,28,9,5,"3",16.8,41,3
"22","Baker Mayfield","QB","CLE",344,26.5,1.19,316,389,102,230,57.6,21,9,35,10,"3",58.8,9.07,11
"23","Tom Brady","QB","NE",343,22.5,5.32,326,392,101,240,60.2,22,7,30,11,"4",115,3.18,22
"24","Tom Brady","QB","TB",343,22.5,5.32,326,392,101,240,60.2,22,7,30,11,"4",115,3.18,22
"25","Jared Goff","QB","LAR",337,25.9,1.21,301,378,95.7,215,46.7,23,11,42,12,"4",89.6,4.73,57
"26","Ben Roethlisberger","QB","PIT",336,28,0.826,284,366,94.5,198,34.9,24,16,57,13,"4",113,3.92,65
"27","Cam Newton","QB","CAR",335,36.6,8.03,279,374,93.7,193,42.3,25,18,49,14,"4",86.5,4.7,26
"28","Cam Newton","QB","NE",335,36.6,8.03,279,374,93.7,193,42.3,25,18,49,14,"4",86.5,4.7,26
"29","Zach Ertz","TE","PHI",230,21.5,40.3,192,260,93.7,95,77.2,26,38,14,3,"3",31.7,27.6,6
"30","LeVeon Bell","RB","NYJ",268,31.4,8.87,212,303,92.3,93.5,75.6,27,39,16,6,"4",8.58,52.2,14
"31","JuJu Smith-Schuster","WR","PIT",280,30.4,4.89,241,308,88.3,84.2,70.8,28,43,21,5,"2",16.6,45.1,25
"32","Kirk Cousins","QB","MIN",327,21.6,8.76,297,362,85.7,211,30.3,29,13,65,15,"5",134,2.51,54
"33","Todd Gurley","RB","LAR",260,26.2,3.07,218,292,83.4,99.7,65,31,36,26,7,"4",14.7,43.6,10
"34","Todd Gurley","RB","ATL",260,26.2,3.07,218,292,83.4,99.7,65,31,36,26,7,"4",14.7,43.6,10
"35","Antonio Brown","WR","OAK",275,21.4,2.53,245,296,83.4,88.1,58.2,30,41,33,6,"2",22.7,37.9,18
"36","Antonio Brown","WR","FA",275,21.4,2.53,245,296,83.4,88.1,58.2,30,41,33,6,"2",22.7,37.9,18
"37","Tyreek Hill","WR","KC",273,37.3,8.17,193,309,80.9,35.4,71.7,32,64,19,7,"2",18.4,32.3,33
"38","David Johnson","RB","ARI",256,29.8,1.6,207,286,80.3,88.4,58.2,33,40,32,8,"4",7.36,52.2,7
"39","David Johnson","RB","HOU",256,29.8,1.6,207,286,80.3,88.4,58.2,33,40,32,8,"4",7.36,52.2,7
"40","Joe Mixon","RB","CIN",255,17.6,2.89,235,288,78.7,116,60.8,34,33,28,9,"4",17.3,44.2,2
"41","Kyler Murray","QB","ARI",318,48,0.286,253,402,76.9,167,70.8,35,22,20,16,"5",110,3.42,78
"42","Josh Allen","QB","BUF",318,34,2.67,276,366,76.6,190,34.6,36,19,60,17,"5",146,2.33,72
"43","James Conner","RB","PIT",252,33.6,3.53,200,288,75.9,81.6,60.3,37,45,29,10,"4",10.9,49.7,21
"44","Philip Rivers","QB","LAC",315,27.6,7.51,270,348,73.9,184,16.3,38,20,85,18,"6",118,2.87,39
"45","Philip Rivers","QB","IND",315,27.6,7.51,270,348,73.9,184,16.3,38,20,85,18,"6",118,2.87,39
"46","Mike Evans","WR","TB",265,16.8,0.0726,232,281,72.7,75.2,43.6,39,48,46,8,"2",22.5,36.9,1
"47","Odell Beckham","WR","CLE",264,24.2,7.43,233,296,72.6,76.2,58.9,40,47,31,9,"3",14.5,47.4,16
"48","Nick Chubb","RB","CLE",248,23.9,5.43,214,282,72.3,95.3,54.7,41,37,37,11,"5",12.2,46.2,4
"49","Aaron Jones","RB","GB",243,29.2,5.05,205,296,66.9,86.4,68.8,42,42,23,12,"5",32.5,24.2,20
"50","Jimmy Garoppolo","QB","SF",308,40.7,5.54,245,362,66.4,159,30.9,43,26,63,19,"6",146,2.26,46
"51","Keenan Allen","WR","LAC",257,16.2,4.74,230,274,65.2,72.4,37,44,49,54,10,"3",28.8,30.7,2
"52","Leonard Fournette","RB","JAC",238,28.7,3.02,199,277,61.9,79.9,49.8,45,46,39,13,"5",28.8,28.4,18
"53","Matthew Stafford","QB","DET",302,25.8,15.4,280,352,60.9,194,20.8,46,17,74,20,"7",151,1.81,13
"54","Adam Thielen","WR","MIN",252,20.3,12.8,226,280,60.5,68.9,42.6,47,50,47,11,"3",27.3,30.5,12
"55","Derrick Henry","RB","TEN",235,33.9,8.67,184,285,58.8,65.4,57.9,48,52,34,14,"5",38.3,19.8,25
"56","Evan Engram","TE","NYG",189,9.67,17.7,179,209,53.3,82.5,25.5,49,44,68,4,"4",58.7,8.34,2
"57","Kenyan Drake","RB","MIA",226,37.2,7.52,175,283,50.2,56,55.5,50,54,36,15,"6",78.2,5.31,57
"58","Kenyan Drake","RB","ARI",226,37.2,7.52,175,283,50.2,56,55.5,50,54,36,15,"6",78.2,5.31,57
"59","Amari Cooper","WR","DAL",239,15.1,1.67,223,267,47.6,66,29.3,51,51,66,12,"4",34.1,26.3,6
"60","Robert Woods","WR","LAR",238,16.2,1.22,217,258,45.9,59.6,20.7,52,53,76,13,"4",44.8,14.1,9
"61","Derek Carr","QB","OAK",287,21.2,5.23,248,310,45.5,162,-21.2,53,24,290,21,"8",148,2.39,17
"62","Derek Carr","QB","LVR",287,21.2,5.23,248,310,45.5,162,-21.2,53,24,290,21,"8",148,2.39,17
"63","Julian Edelman","WR","NE",237,27.2,3.64,190,276,44.7,33.1,38.2,54,67,52,14,"4",41.4,18.6,27
"64","Melvin Gordon","RB","LAC",219,46.9,2.78,154,289,42.7,35.3,62.2,55,65,27,16,"6",31.6,39.5,77
"65","Melvin Gordon","RB","DEN",219,46.9,2.78,154,289,42.7,35.3,62.2,55,65,27,16,"6",31.6,39.5,77
"66","Kenny Golladay","WR","DET",233,21.9,0.127,207,273,41.1,49.9,35.8,56,56,56,15,"4",47.8,14.5,21
"67","Stefon Diggs","WR","MIN",233,18.5,4.32,205,256,41,47.9,18.6,57,57,80,16,"4",34.8,23,4
"68","Stefon Diggs","WR","BUF",233,18.5,4.32,205,256,41,47.9,18.6,57,57,80,16,"4",34.8,23,4
"69","Sam Darnold","QB","NYJ",282,25.3,1.45,250,318,40.2,164,-13.3,58,23,212,22,"8",154,2.78,35
"70","Josh Jacobs","RB","OAK",216,36,3.56,171,274,39.9,52.3,46.6,59,55,43,17,"6",38.6,15.7,29
"71","Josh Jacobs","RB","LVR",216,36,3.56,171,274,39.9,52.3,46.6,59,55,43,17,"6",38.6,15.7,29
"72","Mitchell Trubisky","QB","CHI",280,106,38.8,86,360,38.8,0,28.2,60,129,67,23,"9",136,2.76,85
"73","Chris Godwin","WR","TB",228,34,5.11,197,280,36.6,39.9,42.5,61,61,48,17,"4",45.9,13.5,45
"74","Chris Carson","RB","SEA",212,41.8,5.35,143,272,36.3,24.6,45,62,77,45,18,"6",41.4,14.2,49
"75","Hunter Henry","TE","LAC",172,20.1,5.94,142,202,35.6,45,18.6,63,58,79,5,"5",62.7,6.64,9
"76","T.Y. Hilton","WR","IND",223,15.3,1.89,202,243,31.5,44.3,5.13,64,59,109,18,"4",41.7,27.3,15
"77","Devonta Freeman","RB","ATL",207,39.8,5.18,134,242,31,15.2,14.5,65,88,89,19,"7",31.2,27.2,35
"78","Devonta Freeman","RB","FA",207,39.8,5.18,134,242,31,15.2,14.5,65,88,89,19,"7",31.2,27.2,35
"79","Jared Cook","TE","NO",166,17.6,2.82,135,188,29.7,38.5,5.19,66,63,108,6,"5",71.6,4.52,11
"80","Cooper Kupp","WR","LAR",221,29.7,0.203,189,272,29.6,31.8,34.6,67,69,59,19,"4",56.4,10.8,44
"81","Tyler Lockett","WR","SEA",221,24,3.59,181,252,29.4,23.9,14.5,68,78,90,20,"4",51.3,10.1,29
"82","Greg Zuerlein","K","LAR",155,12.1,1.86,136,171,27.4,25.5,25.4,69,75,69,1,"1",111,3.14,8
