"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"122","Jatavis Brown","LB","LAC",99.4,6.8,1.11,94.1,107,1.9,0.511,1.89,122,124,122,8,"2",164,1.4,28
"123","Broncos","DST","DEN",92.4,9.69,1.68,79.2,101,1.68,2.09,-2,123,116,136,2,"2",77,4.3,10
"124","Duke Johnson","RB","CLE",164,11.3,1.11,150,184,1.11,25.4,-2.79,124,74,145,29,"8",120,1.92,31
"125","Morgan Burnett","DB","GB",87.2,13.2,0.991,76.1,102,0.991,-3.27,9.3,125,152,99,9,"1",158,2.1,78
"126","Mark Barron","LB","LAR",98.3,2.74,0.792,95.2,100,0.792,1.55,-4.96,126,119,161,9,"2",NA,NA,4
"127","Randall Cobb","WR","GB",199,15.5,0.304,188,232,0.304,18.9,9.47,127,85,98,29,"7",105,2.96,39
"128","Cameron Jordan","DL","NO",60.3,7.77,0.127,53.1,67.8,0.127,-1.52,2.78,128,138,120,9,"3",153,2.5,69
"129","Jay Cutler","QB","MIA",248,43.6,29.9,163,287,0,-22.2,0,129,319,129,24,"9",125,2.73,66
"130","Paul Perkins","RB","NYG",163,14.4,0.439,143,183,0,18.5,-3.78,129,86,151,30,"8",66.1,4.96,21
"131","Jamison Crowder","WR","WAS",199,22.9,4.71,165,239,0,-4.82,16.3,129,162,82,30,"7",58.5,6.94,80
"132","Jason Witten","TE","DAL",149,11.5,0.409,134,167,0,0,-7.79,129,129,183,12,"6",130,1.84,29
"133","Steven Hauschka","K","BUF",509,396,31.5,117,948,0,-14.9,62.3,129,262,28,8,"5",48.3,1.05,99
"134","Texans","DST","HOU",90.7,10.1,1.17,76,103,0,-1.16,0,129,134,129,3,"3",95.3,2.01,16
"135","Melvin Ingram","DL","LAC",60.2,1.49,0.329,58.7,61.6,0,4.05,-3.44,129,112,149,10,"3",138,2.8,1
"136","Ryan Shazier","LB","PIT",97.5,4.91,0.0524,92.2,101,0,-1.38,-4.56,129,137,157,10,"2",118,3.3,23
"137","Barry Church","DB","JAC",86.2,4.14,1.85,82.7,90.8,0,3.36,-1.65,129,113,133,10,"1",136,1.9,12
"138","Bobby Wagner","LB","SEA",97.5,1.64,1.32,95.7,98.9,-0.0524,2.07,-6.46,130,117,170,11,"2",85.5,6.2,1
"139","Brandon Graham","DL","PHI",59.8,4.89,0.465,54,62.8,-0.329,-0.584,-2.22,131,132,142,11,"3",NA,NA,45
"140","Hunter Henry","TE","LAC",148,29,0.647,97.3,184,-0.409,-36.8,9.87,132,403,96,13,"6",88.5,1.92,69
"141","Terrance West","RB","BAL",162,18.2,7.76,141,187,-0.439,16.3,0,133,88,129,31,"9",80.4,2.41,49
"142","Everson Griffen","DL","MIN",59.4,4.77,0.823,56.2,65,-0.794,1.63,0,134,118,129,12,"3",170,0,28
"143","Jack Doyle","TE","IND",147,11.1,7.77,131,164,-1.06,-2.92,-10.9,135,148,219,14,"6",88.9,2,26
"144","Vikings","DST","MIN",89.6,11.9,1.9,82.1,112,-1.17,4.99,8.81,136,110,100,4,"4",97.8,2.57,48
"145","C.J. Mosley","LB","BAL",96.2,2.65,0.562,93.4,98,-1.37,-0.202,-7.35,137,131,177,12,"2",137,3,7
"146","Ezekiel Ansah","DL","DET",58.5,7,0.856,53.3,62.9,-1.62,-1.32,-2.09,138,135,137,13,"3",184,1.2,62
"147","Byron Jones","DB","DAL",84.3,5.71,1.37,80.6,90.3,-1.85,1.3,-2.17,139,120,139,11,"1",170,0,34
"148","Lavonte David","LB","TB",95.6,9.63,0.965,86.2,105,-1.93,-7.4,-0.186,140,182,130,13,"2",147,3.5,39
"149","Demarcus Lawrence","DL","DAL",57.7,4.1,0.673,54.6,60.2,-2.47,0,-4.75,141,129,159,14,"3",NA,NA,41
"150","Derrick Johnson","LB","KC",94.6,6.26,0.355,88.2,99.5,-2.9,-5.38,-5.82,142,166,166,14,"2",170,0,30
"151","Panthers","DST","CAR",87.7,11.4,0.485,70.4,97.9,-3.07,-6.71,-5.03,143,176,163,5,"4",128,1.18,52
"152","Ndamukong Suh","DL","MIA",57,5.39,0.0848,52.9,62.8,-3.15,-1.72,-2.23,144,139,143,15,"3",149,3.5,40
"153","Karl Joseph","DB","OAK",82.9,9.98,0.0326,74.6,94,-3.22,-4.74,1.56,145,161,124,12,"1",163,1.4,59
"154","Muhammad Wilkerson","DL","NYJ",56.9,4.29,0.738,52.8,60.9,-3.23,-1.79,-4.11,146,141,154,16,"3",177,1.5,22
"155","Eric Kendricks","LB","MIN",94.3,1.03,0.23,93.6,95.4,-3.25,0,-9.97,147,129,210,15,"2",143,2,5
"156","Kenny Vaccaro","DB","NO",82.9,6.88,0.0241,76,89,-3.25,-3.31,-3.42,148,154,148,13,"1",159,1.8,33
"157","Eric Berry","DB","KC",82.9,8.01,0.0414,73.6,88.8,-3.28,-5.75,-3.65,149,169,150,14,"1",143,2.6,74
"158","Antoine Bethea","DB","ARI",82.8,8.43,0.932,76.2,92.4,-3.32,-3.1,0,150,151,129,15,"1",170,0,53
"159","Khalil Mack","LB","OAK",94.1,15.3,1.5,84.2,105,-3.48,-9.38,0,151,203,129,16,"2",NA,NA,72
"160","Patriots","DST","NE",87.2,6.84,1.92,75.8,95.4,-3.55,-1.37,-7.49,152,136,178,6,"5",103,1.98,1
"161","Calais Campbell","DL","JAC",56.2,9.47,0.28,47.4,65.3,-3.97,-7.17,0.326,153,180,128,17,"3",147,3.3,79
"162","Fletcher Cox","DL","PHI",55.9,1.08,2.41,54.8,57,-4.25,0.231,-8.03,154,127,186,18,"3",170,0,7
"163","Sean Davis","DB","PIT",81.9,7.02,1.2,77.5,90.2,-4.25,-1.79,-2.2,155,140,141,16,"2",187,1.1,50
"164","Sammy Watkins","WR","LAR",194,19.8,6.84,162,218,-4.71,-7.56,-4.56,156,185,156,31,"8",61.7,11.6,63
"165","Benardrick McKinney","LB","HOU",92.6,10.3,0.249,84.2,103,-4.98,-9.43,-2.28,157,205,144,17,"2",146,2.6,37
"166","NaVorro Bowman","LB","SF",92.3,7,0.211,85.8,99.4,-5.23,-7.82,-5.9,158,188,167,18,"2",83.8,5.7,33
"167","Jamie Collins","LB","CLE",92.1,9.03,0.0846,85.1,102,-5.44,-8.46,-2.84,159,193,146,19,"2",128,3.3,35
"168","Rodney McLeod","DB","PHI",80.7,3.71,0.0665,76.9,83,-5.45,-2.48,-9.45,160,145,202,17,"2",170,0,19
"169","Eagles","DST","PHI",85.3,8.35,0.0056,72.4,95.3,-5.47,-4.68,-7.61,161,160,182,7,"5",146,1.35,58
"170","Buccaneers","DST","TB",85.2,10.2,0.629,72.3,101,-5.47,-4.87,-2.15,162,163,138,8,"6",159,0.565,84
"171","J.J. Wilcox","DB","PIT",80.7,0.0707,0.2,80.6,80.7,-5.51,1.27,-11.7,163,121,230,18,"2",170,0,1
"172","Sean Lee","LB","DAL",92,10.3,0.718,79.9,98.6,-5.52,-13.7,-6.7,164,250,174,20,"2",112,4.1,91
"173","Xavier Rhodes","DB","MIN",80.5,1.19,0.0902,79.3,81.7,-5.71,0,-10.8,165,129,217,19,"2",170,0,14
"174","Tony Jefferson","DB","BAL",80.4,3.17,0.199,77.3,83.4,-5.8,-2.04,-9.04,166,144,198,20,"2",153,1.4,9
"175","Vernon Hargreaves","DB","TB",80.2,1.27,0.784,79.2,81,-6,-0.101,-11.5,167,130,225,21,"2",170,0,10
"176","Giants","DST","NYG",84.6,8.79,0.055,70.5,93.8,-6.1,-6.59,-9.12,168,174,199,9,"6",141,1.4,65
"177","Chiefs","DST","KC",84.6,9.03,1.11,73.2,96.6,-6.16,-3.94,-6.35,169,156,169,10,"7",88.4,3.4,39
"178","Jerrell Freeman","LB","CHI",91.3,15.5,0.158,80.6,109,-6.24,-13,4.12,170,243,115,21,"2",131,2.9,65
"179","Jordan Hicks","LB","PHI",91.1,10.7,3.23,82.8,103,-6.4,-10.8,-1.93,171,218,135,22,"2",170,0,42
"180","Aaron Donald","DL","LAR",53.5,11.1,0.186,44.2,65.9,-6.66,-10.4,0.921,172,214,126,19,"4",174,2.4,86
"181","Marcus Peters","DB","KC",79.4,2.94,0.41,76.4,82.1,-6.79,-2.93,-10.3,173,149,213,22,"2",170,0,40
"182","Jerry Hughes","DL","BUF",53.3,3.52,0.869,51,57.5,-6.84,-3.58,-7.52,174,155,179,20,"4",170,0,64
"183","Reggie Nelson","DB","OAK",79,2.34,0.508,77.5,81.7,-7.2,-1.82,-10.7,175,142,216,23,"2",170,0,7
"184","Seahawks","DST","SEA",83.5,10.2,2.09,64.7,91.8,-7.26,-12.5,-11.1,176,236,221,11,"8",76.5,3.56,6
"185","Kurt Coleman","DB","CAR",78.5,5.49,0.0539,73.5,84.3,-7.7,-5.8,-8.18,177,170,188,24,"2",182,1.8,22
"186","Cameron Heyward","DL","PIT",52.5,3.72,0.642,48.6,55.4,-7.71,-5.98,-9.57,178,172,204,21,"4",179,1.1,21
"187","Casey Hayward","DB","LAC",78.4,8.68,0.0784,68.2,84.5,-7.76,-11.1,-7.94,179,221,185,25,"2",170,0,72
"188","Jahleel Addae","DB","LAC",78.3,8.46,0.117,70.7,87.2,-7.84,-8.63,-5.2,180,198,164,26,"2",176,1.5,52
"189","Malcolm Jenkins","DB","PHI",78.2,6.85,1.11,71.1,82.6,-7.95,-8.26,-9.87,181,191,207,27,"2",170,0,57
"190","James White","RB","NE",154,30,3.63,113,204,-8.19,-11.8,17.1,182,227,79,32,"9",99,1.54,70
"191","Cameron Wake","DL","MIA",51.8,7.91,0.338,44,59,-8.35,-10.7,-6.02,183,217,168,22,"4",203,0,76
"192","DeForest Buckner","DL","SF",51.5,1.8,0.314,49.7,53,-8.69,-4.95,-12,184,164,234,23,"4",174,1.2,9
"193","Coby Fleener","TE","NO",140,13.6,3.66,119,157,-8.83,-15.3,-17.8,185,264,300,15,"6",112,1.54,40
"194","Cliff Avril","DL","SEA",51.2,5.25,0.0825,46.1,56.3,-9,-8.46,-8.68,186,194,194,24,"4",168,1.6,55
"195","Chris Harris","DB","DEN",77.1,10.4,0.9,69.9,87.9,-9.06,-9.43,-4.54,187,204,155,28,"2",186,0,84
"196","Derek Wolfe","DL","DEN",51.1,2.8,0.83,47.8,53,-9.09,-6.83,-12,188,177,233,25,"4",170,0,10
"197","Falcons","DST","ATL",81.4,4.7,0.452,77.1,89.9,-9.35,0,-13,189,129,244,12,"9",137,1.37,35
"198","Chris Kirksey","LB","CLE",87.9,NA,0.185,NA,NA,-9.63,NA,NA,190,NA,NA,23,"2",NA,NA,NA
"199","Jaguars","DST","JAC",80.9,5.81,1.29,75.1,91.1,-9.8,-2.01,-11.9,191,143,232,13,"10",141,1.23,13
"200","Jarrad Davis","LB","DET",87.7,15.9,1.14,71.5,101,-9.82,-22.1,-4.64,192,318,158,24,"2",169,0,86
"201","Trey Flowers","DL","NE",50.2,5.89,9.04e-05,45.1,56.7,-9.92,-9.47,-8.29,193,206,190,26,"4",130,1.8,53
"202","Akiem Hicks","DL","CHI",50.2,2.63,0.116,47.5,52,-9.92,-7.11,-13,194,178,243,27,"4",186,1.6,12
"203","Micah Hyde","DB","BUF",76.2,10.3,0.567,70.6,88.5,-9.96,-8.71,-3.95,195,199,152,29,"2",170,0,76
"204","Michael Bennett","DL","SEA",50.1,2.9,0.0494,47.1,52.6,-10,-7.5,-12.4,196,183,238,28,"4",178,1.8,16
"205","Marcell Dareus","DL","BUF",50.1,4.17,0.0401,46.1,54,-10.1,-8.49,-11,197,195,220,29,"4",185,1.3,26
"206","Kawann Short","DL","CAR",50,6.51,0.721,43,55.8,-10.1,-11.6,-9.16,198,224,200,30,"4",190,3.7,59
"207","Jamal Adams","DB","NYJ",75.6,7.99,0.0115,67.3,80.9,-10.5,-12,-11.5,199,229,226,30,"2",170,0,69
"208","Ron Parker","DB","KC",75.6,6.62,0.198,69,81.5,-10.5,-10.3,-10.9,200,213,218,31,"2",170,0,62
"209","Eric Weddle","DB","BAL",75.4,5.73,0.362,69.3,79.4,-10.7,-10.1,-13,201,209,242,32,"2",157,1.6,29
