"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Justin Tucker","K","BAL",852,619,231,167,1440,343,34.7,559,1,61,1,1,"1",78.7,2.88,74
"2","David Johnson","RB","ARI",355,15.2,15.6,334,376,193,209,188,2,1,4,1,"1",1.54,67.5,7
"3","LeVeon Bell","RB","PIT",340,26,77.7,310,382,177,185,195,3,3,3,2,"2",2.3,65.1,17
"4","Aaron Rodgers","QB","GB",407,19.8,20.8,379,431,159,193,144,4,2,6,1,"1",20.4,33.8,1
"5","Tom Brady","QB","NE",386,20,18.2,350,411,138,164,124,5,4,10,2,"2",24.5,28.5,6
"6","Drew Brees","QB","NO",368,13.9,8.69,341,381,120,155,93.6,6,5,13,3,"2",38.9,21.1,3
"7","Antonio Brown","WR","PIT",316,22.8,14.9,283,349,117,113,127,7,9,8,1,"1",4.51,61.6,18
"8","Matt Ryan","QB","ATL",359,24,15.8,328,387,112,142,100,8,6,11,4,"3",47.1,14.6,17
"9","Stephen Gostkowski","K","NE",620,440,47.8,154,1160,111,22,273,9,77,2,2,"2",78.2,2.8,48
"10","Julio Jones","WR","ATL",301,27.9,21.6,269,348,102,99.2,126,10,17,9,2,"2",5.04,59.4,45
"11","Devonta Freeman","RB","ATL",262,8.33,1.18,251,275,99.4,126,87.8,11,7,15,3,"2",9.66,45.8,1
"12","LeSean McCoy","RB","BUF",261,19.3,17.5,233,285,98.2,108,97.9,12,12,12,4,"3",7,52.9,10
"13","Russell Wilson","QB","SEA",343,21.3,14.4,303,359,95.8,118,72.1,13,8,20,5,"4",44.7,9.48,9
"14","Jameis Winston","QB","TB",329,27.8,8,273,346,81.3,87.3,58.9,14,19,31,6,"4",68.8,3.77,34
"15","Melvin Gordon","RB","LAC",243,5.39,3.8,235,249,80.7,110,61.9,15,11,29,5,"4",10.6,45.1,1
"16","Odell Beckham","WR","NYG",279,22.4,4.93,251,315,80.3,81.2,92.4,16,28,14,3,"2",6.54,55.9,27
"17","Rob Gronkowski","TE","NE",228,16.8,13.2,200,250,79.2,66.2,75.3,17,34,17,1,"1",19.8,34.7,9
"18","Jordan Howard","RB","CHI",239,3.67,7.64,235,245,76.9,110,57.4,18,10,32,6,"4",12.4,39.5,4
"19","Jordy Nelson","WR","GB",274,14.4,5.48,253,299,75.4,83.1,76.3,19,24,16,4,"3",12.3,46.7,4
"20","Cam Newton","QB","CAR",321,29.5,0.535,267,352,73.3,81,64.3,20,29,25,7,"4",52.4,8.28,83
"21","Marcus Mariota","QB","TEN",320,25.1,0.836,270,340,72.8,84.4,52.5,21,22,36,8,"4",60.3,7.22,57
"22","Dak Prescott","QB","DAL",320,24.7,2.06,272,342,72,86.3,54.4,22,20,34,9,"4",61.5,5.89,54
"23","Derek Carr","QB","OAK",318,38.1,0.603,247,361,69.9,61.6,73.4,24,38,19,10,"4",61.1,5.11,80
"24","Mike Evans","WR","TB",269,14,1.23,255,292,69.9,85.5,69.9,23,21,22,5,"3",8.81,52.5,3
"25","Kirk Cousins","QB","WAS",317,29.1,2.21,268,357,69.3,82.3,69.3,25,25,23,11,"5",83.3,4.68,49
"26","DeMarco Murray","RB","TEN",232,4.22,5.98,224,236,69.2,99.6,48.3,26,16,44,7,"5",10,43,3
"27","Michael Thomas","WR","NO",268,12.9,8.05,251,285,68.7,81.4,62.7,27,27,27,6,"3",16.8,40.8,1
"28","Ben Roethlisberger","QB","PIT",315,14.8,0.096,288,329,67.1,102,41.3,28,14,46,12,"5",77.7,3.32,69
"29","Andrew Luck","QB","IND",315,16.8,0.599,293,342,67,107,54.5,29,13,33,13,"5",60.9,13.9,86
"30","Matthew Stafford","QB","DET",314,28,3.7,260,338,66.4,74,50.4,30,32,40,14,"5",107,3.34,60
"31","Travis Kelce","TE","KC",215,6.41,7.02,207,225,66,72.7,50.9,31,33,39,2,"1",30.6,18.9,1
"32","Sebastian Janikowski","K","OAK",573,401,29.2,132,1050,63.5,0.0345,162,32,128,5,3,"3",112,1.39,71
"33","Jay Ajayi","RB","MIA",226,9.45,2.54,215,239,63.2,90.4,52.2,33,18,37,8,"5",10.4,42.5,6
"34","Philip Rivers","QB","LAC",310,38.5,8.17,238,338,62.7,52.7,51.2,34,44,38,15,"5",91,2.41,51
"35","Todd Gurley","RB","LAR",223,16.1,12.8,209,250,60.7,84.4,63.2,35,23,26,9,"5",14.7,36.8,15
"36","A.J. Green","WR","CIN",260,16.9,15.3,244,287,60.6,74.3,65.1,36,31,24,7,"4",8.06,51,8
"37","Greg Olsen","TE","CAR",207,16.6,0.985,188,225,59,53.9,50.1,37,43,41,3,"1",35.2,14.4,6
"38","Jordan Reed","TE","WAS",207,15.2,12.3,183,228,58,48.6,53.5,38,48,35,4,"2",35.6,17.9,11
"39","Andy Dalton","QB","CIN",302,30.6,3.21,243,328,54.5,57,41,39,41,48,16,"5",100,2.3,31
"40","Carson Palmer","QB","ARI",299,18.7,4.25,268,322,51.3,82.2,35.2,40,26,53,17,"6",139,3.98,11
"41","Lamar Miller","RB","HOU",211,7.35,7.97,199,219,47.9,74.6,32.1,41,30,60,10,"6",22.2,29,11
"42","Tyrod Taylor","QB","BUF",295,7.78,6.95,288,304,47.1,102,16.5,42,15,81,18,"6",104,1.64,20
"43","Jimmy Graham","TE","SEA",194,25.9,3.9,171,245,45.6,37.2,70.1,43,59,21,5,"2",41.9,9.08,49
"44","Doug Baldwin","WR","SEA",244,11.3,8.64,232,262,45.3,62.4,39.3,44,37,49,8,"5",24.5,31.3,7
"45","Kyle Rudolph","TE","MIN",190,8.83,5.83,182,205,41.7,47.5,30.2,45,49,65,6,"3",59.4,4.03,3
"46","Eli Manning","QB","NYG",288,34.5,7.33,220,311,40.1,34.6,24.2,46,62,70,19,"6",130,3.01,46
"47","Leonard Fournette","RB","JAC",203,23.4,1.29,171,237,39.9,46.2,49.5,47,52,43,11,"6",17.7,32.3,24
"48","Ezekiel Elliott","RB","DAL",201,23.2,0.641,181,237,38.6,55.9,49.7,48,42,42,12,"6",12.3,50.8,39
"49","Mark Ingram","RB","NO",201,22.7,1.32,160,228,38,35,41.2,49,60,47,13,"6",60.2,9.21,32
"50","Marshawn Lynch","RB","OAK",199,14.9,2.29,183,219,36.7,58.7,31.3,51,40,63,14,"6",18.7,29.2,25
"51","T.Y. Hilton","WR","IND",236,13.1,3.94,219,254,36.7,49,31.7,50,47,61,9,"5",18.4,36.6,14
"52","Zach Ertz","TE","PHI",184,13,16.5,171,208,35.9,37.2,33.7,52,58,58,7,"4",73.3,2.46,17
"53","Landon Collins","DB","NYG",121,9.18,22.7,111,127,34.6,31.8,34.1,53,66,57,1,"1",96.8,4.8,43
"54","Ty Montgomery","RB","GB",197,6.98,0.0701,186,205,34.4,61.5,18.2,54,39,76,15,"6",37,13.3,13
"55","Blair Walsh","K","SEA",543,371,3.45,133,946,34.4,0.681,60.5,55,123,30,4,"3",154,1.36,90
"56","Isaiah Crowell","RB","CLE",197,16.2,0.744,172,217,34.3,47.1,29.5,56,51,66,16,"6",24.1,23.7,20
"57","Bilal Powell","RB","NYJ",196,7.98,6.8,187,210,33.6,62.6,22.6,57,36,72,17,"7",45.4,12.9,8
"58","Carson Wentz","QB","PHI",280,37.1,12.1,213,323,32.8,27.8,35.8,58,73,52,20,"7",100,2.59,37
"59","Brandin Cooks","WR","NE",232,14,0.485,217,257,32.8,47.5,34.8,59,50,55,10,"5",16.6,34.6,25
"60","Dez Bryant","WR","DAL",231,19,0.766,213,268,32.3,43.1,45.6,60,53,45,11,"5",20.2,39.4,35
"61","J.J. Watt","DL","HOU",92.4,8.65,9.91,82.8,99.8,32.2,28.2,34.8,61,71,56,1,"1",60,11.5,72
"62","Amari Cooper","WR","OAK",231,22.9,4.05,190,260,31.5,20.3,37.6,62,82,50,12,"5",24.3,32.5,41
"63","Brandon McManus","K","DEN",540,361,0.998,132,886,30.9,0,0,63,129,129,5,"3",119,0.57,94
"64","Mason Crosby","K","GB",539,375,21.8,129,960,29.9,-2.77,74.5,64,146,18,6,"4",106,1.44,68
"65","DeAndre Hopkins","WR","HOU",226,17.5,0.804,202,253,27.5,32.4,30.5,65,65,64,13,"5",24.1,28,28
"66","Dalvin Cook","RB","MIN",189,47.7,1.69,92.7,222,26.8,-32.1,34.9,66,371,54,18,"7",32.6,17.5,80
"67","Demaryius Thomas","WR","DEN",226,9.79,0.635,211,236,26.7,41.9,13.9,67,55,86,14,"5",26.6,24.4,1
"68","Larry Fitzgerald","WR","ARI",225,11.4,0.0523,211,246,26,41,23.2,68,56,71,15,"5",57.1,12.5,23
"69","Golden Tate","WR","DET",225,11.2,0.632,212,243,26,42.5,20.8,69,54,74,16,"5",42.7,12.4,10
"70","Michael Crabtree","WR","OAK",224,12.1,9.42,202,235,25.3,32.8,12.5,70,64,88,17,"6",34,16.1,11
"71","Christian McCaffrey","RB","CAR",188,40.9,0.514,108,223,25.1,-16.7,36.2,71,275,51,19,"7",23.3,24.2,68
"72","Carlos Hyde","RB","SF",187,11.1,3.47,177,204,24.6,51.9,16.9,72,45,80,20,"7",31.1,19.3,18
"73","Khalil Mack","DL","OAK",82.5,NA,12.6,NA,NA,22.3,NA,NA,73,NA,NA,2,"2",NA,NA,43
"74","Kareem Hunt","RB","KC",184,47.9,4.37,86.9,213,21.1,-37.9,25.8,74,410,67,21,"7",48.7,10.6,76
"75","Alex Smith","QB","KC",268,15.4,0.413,248,292,20.7,62.7,4.71,75,35,111,21,"7",119,0.665,14
"76","Joe Flacco","QB","BAL",268,22,5.76,236,286,20.3,49.9,-1.17,76,46,132,22,"7",106,2.08,23
"77","Martellus Bennett","TE","GB",168,22.3,2.07,139,199,19.5,4.45,24.2,77,111,69,8,"4",66.4,3.25,43
"78","Delanie Walker","TE","TEN",166,12.1,0.898,146,182,17.4,11.4,7.05,78,98,103,9,"4",70.7,5.52,14
"79","C.J. Anderson","RB","DEN",179,23.2,0.604,155,209,16.7,30,22,79,69,73,22,"7",42.1,11.8,27
"80","Tyler Eifert","TE","CIN",165,19.1,7.7,149,206,16.5,15.1,31.7,80,89,62,10,"5",57.4,4.32,37
"81","Kwon Alexander","LB","TB",114,6.68,0.246,108,121,16.2,14.2,15.6,81,91,83,1,"1",104,4.5,18
"82","Danny Woodhead","RB","BAL",179,18.3,5.02,147,195,16.1,21.9,7.87,82,78,101,23,"8",64.2,7.04,54
"83","Keenan Allen","WR","LAC",215,9.86,0.06,204,232,15.9,34.4,9.75,84,63,97,18,"6",48.1,15.4,13
"84","Alshon Jeffery","WR","PHI",215,9.74,1.33,200,230,15.9,30.3,7.43,85,68,102,19,"6",28.7,22.3,6
"85","Telvin Smith","LB","JAC",113,7.2,1.92,107,121,15.9,13,15.2,83,94,84,2,"1",152,1.8,25
"86","Sam Bradford","QB","MIN",262,21.6,14.5,225,290,14.5,39.1,2.3,87,57,121,23,"8",120,2.24,29
"87","Allen Robinson","WR","JAC",214,12.5,0.493,198,229,14.5,28,6.28,86,72,105,20,"6",40.9,14.4,17
"88","Jarvis Landry","WR","MIA",213,12.2,0.0922,201,232,14,31.4,9.91,88,67,95,21,"6",41.7,12.7,37
"89","Alec Ogletree","LB","LAR",112,6.41,5.57,105,117,14,11.8,12.1,89,97,89,3,"1",129,4,16
"90","Stefon Diggs","WR","MIN",213,19.1,2.45,191,247,13.9,21.7,24.3,90,79,68,22,"6",55.6,6.71,52
"91","Reshad Jones","DB","MIA",98,18.4,4.09,76.5,111,11.8,-2.82,18.9,91,147,75,2,"1",123,4,93
"92","Davante Adams","WR","GB",211,12,0.137,190,222,11.5,20.1,0,92,83,129,23,"6",39.9,11.6,24
"93","Terrelle Pryor","WR","WAS",210,20,0.0134,183,229,11.4,13.5,6.32,93,92,104,24,"6",27.2,21.5,55
"94","Tyreek Hill","WR","KC",210,21.4,3.29,192,255,11.3,22.4,32.7,94,76,59,25,"6",37.5,11.1,58
"95","Frank Gore","RB","IND",174,17.1,1.18,146,198,11.1,21.7,10.5,95,80,91,24,"8",55,8.52,35
"96","Theo Riddick","RB","DET",173,16.1,0.647,153,193,9.93,28.7,6.14,96,70,106,25,"8",77.2,3.1,41
"97","Joey Bosa","DL","LAC",69.9,7.57,0.823,63.7,78.4,9.78,9.13,13.4,97,103,87,3,"2",98,5.7,71
"98","Ameer Abdullah","RB","DET",172,22.3,4.49,142,202,9.28,17.4,14.4,98,87,85,26,"8",73.5,6.06,30
"99","Danielle Hunter","DL","MIN",69.1,5.51,2.36,64.5,75.2,8.96,9.9,10.2,99,100,94,4,"2",167,2.2,31
"100","Eric Ebron","TE","DET",157,12.1,8.79,142,174,8.79,7.71,0,100,105,129,11,"6",132,1.76,20
"101","Deion Jones","LB","ATL",106,3.71,2.68,103,110,8.44,9,4.44,101,104,112,4,"1",139,3,9
"102","Wil Lutz","K","NO",517,434,8.09,135,1010,8.09,2.85,128,102,115,7,7,"4",150,1.16,97
"103","Kelvin Benjamin","WR","CAR",207,16.7,0.219,183,233,8.06,13.1,10.3,103,93,93,26,"6",46.6,8.64,42
"104","Pierre Garcon","WR","SF",207,16.5,0.432,189,233,7.84,19.5,10.5,104,84,92,27,"6",68.4,4.24,46
"105","Johnathan Cyprien","DB","TEN",93.9,0.495,0.774,93.6,94.3,7.75,14.3,1.85,105,90,123,3,"1",145,2.3,5
"106","Emmanuel Sanders","WR","DEN",206,12.4,7.1,193,225,7.4,23.4,3.07,106,75,118,28,"7",50,9.56,20
"107","Harrison Smith","DB","MIN",93.1,4.27,0.312,89.1,97.4,6.97,9.81,5.01,107,101,110,4,"1",151,3,16
"108","Sua Cravens","DB","WAS",92.8,5.23,4.33,89.6,96.8,6.66,10.2,4.32,108,99,114,5,"1",NA,NA,24
"109","Olivier Vernon","DL","NYG",66.8,4.92,2.4,61.7,70.5,6.6,7.07,5.53,109,106,107,5,"2",159,2.5,34
"110","Luke Kuechly","LB","CAR",103,7.15,2.71,96.7,111,5.76,3.08,5.29,110,114,108,5,"1",62.9,11.3,19
"111","Cardinals","DST","ARI",95.8,14.9,3.43,71.3,106,5.11,-5.83,3.04,111,171,119,1,"1",105,1.98,97
"112","Tevin Coleman","RB","ATL",167,17.7,1.94,145,199,4.79,20.7,11.9,112,81,90,27,"8",65.7,4.08,28
"113","Jason Pierre-Paul","DL","NYG",64.4,5,0.00533,60.1,69.4,4.2,5.51,4.43,113,109,113,6,"2",112,3,36
"114","Carlos Dunlap","DL","CIN",64.4,4.21,0.158,60.1,68.4,4.19,5.54,3.36,114,108,117,7,"2",170,2.2,19
"115","Jadeveon Clowney","DL","HOU",64.2,NA,3.91,NA,NA,4.04,NA,NA,115,NA,NA,8,"3",NA,NA,84
"116","Zach Brown","LB","WAS",101,8.38,0.287,94.7,110,3.05,1.09,5.07,116,122,109,6,"1",157,2.4,77
"117","Joe Mixon","RB","CIN",165,42.5,1.74,79.7,191,2.85,-45.1,3.72,117,444,116,28,"8",33,18.6,66
"118","Vontaze Burfict","LB","CIN",100,20,0.866,84.4,123,2.77,-9.24,17.8,118,202,77,7,"2",165,3.6,93
"119","Tyrann Mathieu","DB","ARI",88.5,3.11,0.0932,85.1,90.6,2.33,5.81,-1.86,119,107,134,6,"1",137,4.5,38
"120","Keanu Neal","DB","ATL",88.4,7.28,0.00696,79.8,92.9,2.24,0.446,0.511,120,125,127,7,"1",119,2.9,36
"121","Ha Ha Clinton-Dix","DB","GB",88.4,NA,1.24,NA,NA,2.23,NA,NA,121,NA,NA,8,"1",164,2.8,NA
